team,season,games,plays_per_game,pace_sec_per_play,pass_rate,proe,rz_pass_rate,rz_trips_per_game,inside5_plays_pg,points_per_game,off_td_per_game,rush_td_share,off_epa_per_play,team_pass_att_pg,team_rush_att_pg,team_pass_yds_pg,team_rush_yds_pg,ol_passblock_grade,ol_runblock_grade,ol_snaps_returning,wr_corps_grade,qb_grade,offensive_coordinator,head_coach,play_caller,scheme_run,scheme_pass
LAC,2025,17,64.47058823529412,,0.6213503649635036,0.008433839,0.5542168674698795,3.254901960784314,,16.058823,2.2941177,0.25641027,-0.04600898,40.05882352941177,24.41176470588235,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
LV,2025,17,55.94117647058823,,0.6309148264984227,-0.016293708,0.5982905982905983,2.294117647058824,,11.529411,1.6470588,0.17857143,-0.2287862,35.294117647058826,20.647058823529413,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
MIA,2025,17,56.0,,0.5598739495798319,-0.056136604,0.5104895104895105,2.8039215686274512,,16.058823,2.2941177,0.35897437,-0.019706596,31.352941176470587,24.647058823529413,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
MIN,2025,17,56.35294117647059,,0.6002087682672234,-0.014020438,0.6133333333333333,2.9411764705882355,,15.235294,2.1764705,0.4054054,-0.14209424,33.8235294117647,22.529411764705884,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
NE,2025,17,61.588235294117645,,0.5864374403056352,0.020118942,0.47701149425287354,3.411764705882353,,23.058823,3.2941177,0.39285713,0.14826384,36.11764705882353,25.470588235294116,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
NO,2025,17,63.411764705882355,,0.6224489795918368,-0.033733316,0.49206349206349204,2.4705882352941178,,12.3529415,1.7647059,0.3,-0.092165425,39.470588235294116,23.941176470588236,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
NYG,2025,17,64.05882352941177,,0.5757575757575758,-0.05035568,0.4702702702702703,3.627450980392157,,19.352942,2.764706,0.4680851,0.0018901781,36.88235294117647,27.176470588235293,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
NYJ,2025,17,59.88235294117647,,0.6021611001964636,-0.092732206,0.5116279069767442,2.5294117647058822,,11.529411,1.6470588,0.39285713,-0.14434478,36.05882352941177,23.823529411764707,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
PHI,2025,17,59.588235294117645,,0.5676209279368213,-0.024083257,0.4155844155844156,3.019607843137255,,17.705883,2.5294118,0.39534885,0.014439325,33.8235294117647,25.764705882352942,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
PIT,2025,17,58.1764705882353,,0.5995955510616785,-0.005930044,0.5180722891566265,3.254901960784314,,18.117647,2.5882354,0.36363637,0.014061562,34.88235294117647,23.294117647058822,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
SEA,2025,17,59.88235294117647,,0.5108055009823183,-0.06683946,0.4319526627218935,3.3137254901960786,,19.352942,2.764706,0.40425533,0.033934664,30.58823529411765,29.294117647058822,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
SF,2025,17,63.94117647058823,,0.578656853725851,-0.0061242175,0.5074626865671642,3.9411764705882355,,20.588236,2.9411764,0.3,0.058339335,37.0,26.941176470588236,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
TB,2025,17,63.294117647058826,,0.5985130111524164,-0.03278141,0.5570469798657718,2.9215686274509807,,17.294117,2.4705882,0.30952382,-0.0068883817,37.88235294117647,25.41176470588235,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
TEN,2025,17,59.05882352941177,,0.6434262948207171,-0.038819816,0.5841584158415841,1.9803921568627452,,11.941176,1.7058823,0.31034482,-0.1692001,38.0,21.058823529411764,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
WAS,2025,17,58.64705882352941,,0.5697091273821464,-0.044382863,0.4050632911392405,3.0980392156862746,,16.470589,2.3529413,0.5,-0.0004129719,33.411764705882355,25.235294117647058,,,65.0,65.0,0.7,65.0,65.0,UNKNOWN,UNKNOWN,UNKNOWN,mixed,mixed
