player_id,player_name,season,team,position,age,games,snap_share,route_participation,target_share,targets_per_game,air_yards_share,adot,catch_rate,yptarget,yac_per_rec,rush_share,carries_per_game,ypc,rz_target_share,rz_rush_share,inside5_rush_share,inside10_target_share,rush_td,rec_td,pass_att_share,ypa,sack_rate,pass_td,receiving_yards,rushing_yards,passing_yards
00-0040522,Xavier Restrepo,2025,TEN,WR,,2,0.22,,0.0958904109589041,3.5,0.17906976744186046,11.0,0.42857142857142855,5.857142857142857,3.0,0.0,0.0,,0.125,,,0.0,0,0,0.0,,,0,41,0,0
00-0040534,Ke'Shawn Williams,2025,CIN,WR,,11,0.035454545454545454,,0.0029498525073746312,0.09090909090909091,0.002326663564448581,5.0,1.0,5.0,0.0,0.007326007326007326,0.18181818181818182,5.0,0.0,0.0,0.0,0.0,0,0,0.0,,,0,5,10,0
00-0040547,Nate Carter,2025,ATL,RB,,2,,,0.0,0.0,0.0,,,,,0.225,4.5,6.666666666666667,,0.0,,,0,0,0.0,,,0,0,60,0
00-0040556,Corey Kiner,2025,ARI,RB,,4,0.1325,,0.023076923076923078,0.75,0.011011011011011011,3.6666666666666665,0.6666666666666666,5.0,3.0,0.16666666666666666,3.0,4.833333333333333,0.05,0.6666666666666666,0.0,0.0,0,0,0.0,,,0,15,58,0
00-0040563,Efton Chism III,2025,NE,WR,,8,0.199,,0.014084507042253521,0.375,0.016233766233766232,11.666666666666666,1.0,25.0,13.333333333333334,0.0,0.0,,0.025,,,0.025,0,1,0.0,,,0,75,0,0
00-0040581,Dont'e Thornton Jr.,2025,LV,WR,,11,0.4533333333333333,,0.09404388714733543,2.727272727272727,0.22529465095194923,16.566666666666666,0.3333333333333333,4.5,3.8,0.0,0.0,,0.05,,,0.0,0,0,0.0,,,0,135,0,0
00-0040582,Arian Smith,2025,NYJ,WR,,13,0.3825,,0.04507042253521127,1.2307692307692308,0.09498680738786279,13.5,0.4375,3.25,4.714285714285714,0.011267605633802818,0.3076923076923077,3.25,0.0,0.0,0.0,0.0,0,0,0.0,,,0,52,13,0
00-0040583,Woody Marks,2025,HOU,RB,,16,0.535,,0.06936416184971098,2.25,0.017911142126075832,2.138888888888889,0.6666666666666666,5.777777777777778,9.291666666666666,0.4365256124721604,12.25,3.586734693877551,0.0898876404494382,0.4342105263157895,0.36,0.033707865168539325,2,3,0.0,,,0,208,703,0
00-0040584,Gunnar Helm,2025,TEN,TE,,16,0.525625,,0.11088709677419355,3.4375,0.07984189723320158,5.509090909090909,0.8,6.490909090909091,3.6136363636363638,0.0,0.0,,0.13793103448275862,,,0.05172413793103448,0,2,0.0,,,0,357,0,0
00-0040586,Jaydon Blue,2025,DAL,RB,,5,0.256,,0.006666666666666667,0.2,-0.00484027105517909,-5.0,1.0,5.0,10.0,0.2714285714285714,7.6,3.3947368421052633,0.0,0.25,0.1,0.0,1,0,0.0,,,0,5,129,0
