player_id,ngs_time_to_throw,ngs_aggressiveness,ngs_cpoe,ngs_intended_air_yards,ngs_air_yards_to_sticks,ngs_separation,ngs_cushion,ngs_yac_above_expected,ngs_intended_air_yards_rec,ngs_air_yards_share,ngs_ryoe_per_att,ngs_eight_box_rate,ngs_time_to_los,ngs_rush_efficiency
00-0023459,2.950825,15.0,-0.8077500000000071,9.511621621621623,0.862972972972974,,,,,,,,,
00-0026498,2.86504,20.0,2.5324000000000013,8.993333333333334,0.9100000000000001,,,,,,,,,
00-0029604,2.8969666666666667,10.0,3.8806666666666656,7.648620689655172,-1.11,,,,,,,,,
00-0030279,,,,,,2.6900391892381825,5.361666666666667,-0.1875249665550207,3.8433333333333324,12.10371614528658,,,,
00-0030506,,,,,,2.8460776381283246,6.359999999999999,10.27447378888847,5.808000000000001,24.80991029474584,,,,
00-0030565,3.0422499999999997,12.5,9.367916666666664,6.719565217391305,-2.7586956521739125,,,,,,,,,
00-0031381,,,,,,2.7291740511101565,7.371666666666667,-1.4112171811260517,10.791666666666666,27.189888300999414,,,,
00-0031408,,,,,,1.949350126665216,5.467142857142858,-1.3791383722302641,8.89857142857143,40.02956108219267,,,,
00-0031588,,,,,,2.541242203434132,8.1825,1.0653037035126864,9.18888888888889,32.998164551911266,,,,
00-0032464,,,,,,3.7034428592508113,8.215555555555556,-1.0758907166343086,6.95888888888889,23.127769571639586,,,,
00-0032764,,,,,,,,,,,1.2872419705274585,50.0,2.591125,3.2079166666666667
00-0032950,2.7576842105263157,10.526315789473683,-6.702631578947371,8.262631578947369,0.5257894736842116,,,,,,,,,
00-0033077,2.7466470588235294,14.705882352941178,4.752058823529415,8.259677419354837,0.45322580645161176,,,,,,,,,
00-0033106,2.6585384615384617,15.384615384615385,-3.1907692307692304,6.033076923076922,-3.197692307692309,,,,,,,,,
00-0033119,2.5579729729729728,21.62162162162162,7.66891891891891,7.839729729729729,-1.2143243243243245,,,,,,,,,
00-0033280,,,,,,,,,,,1.6193875469339845,0.0,2.262,2.6777941176470588
00-0033288,,,,,,2.1082679030863165,3.3560000000000003,1.9942263734214976,7.209999999999999,23.166891587944217,,,,
00-0033293,,,,,,,,,,,-0.04342624706219075,8.333333333333332,2.800181818181818,4.77575
00-0033307,,,,,,3.359429055801248,6.9375,0.543616785609693,5.02375,13.855276312614196,,,,
00-0033537,3.0432272727272722,13.636363636363635,3.5577272727272735,10.83,-0.7154545454545459,,,,,,,,,
00-0033555,,,,,,3.4274627447029764,5.272,-0.4609579174253895,13.36,33.81422424702607,,,,
00-0033662,2.653181818181818,4.545454545454546,-21.278181818181828,4.487142857142857,-8.131904761904762,,,,,,,,,
00-0033873,2.2705185185185184,3.7037037037037033,-12.30888888888888,4.6819999999999995,-3.0780000000000007,,,,,,,,,
00-0033881,,,,,,4.52623968597305,6.456,-1.8277185669454177,6.358000000000001,27.166296359596643,,,,
00-0033885,,,,,,3.5717880114250256,7.7725,1.4388852502175808,5.064000000000002,8.673906340995515,,,,
00-0034348,,,,,,3.7111527079317215,3.8659999999999997,-0.4521705631511992,8.862,37.8653221671509,,,,
00-0034351,,,,,,3.212100558763771,3.1925,3.7838960446655854,10.656,23.83146218186698,,,,
00-0034383,,,,,,4.3750084528236854,6.025,-1.555927672925712,2.997500000000001,8.29011961557077,,,,
00-0034753,,,,,,3.259937382775273,7.138333333333333,0.7274031750946541,7.071666666666668,16.433634145396802,,,,
00-0034796,3.3038749999999997,16.0,6.38240000000001,10.757916666666667,0.5912500000000004,,,,,,,,,
00-0034827,,,,,,2.7997902361313045,8.96875,3.71246409779165,19.40125,43.95140737384607,,,,
00-0034829,,,,,,2.617752939913697,5.0,0.3728014286655954,10.041428571428572,30.322246667529445,,,,
00-0034844,,,,,,,,,,,1.8978593779772208,6.666666666666667,3.0399999999999996,3.42277108433735
00-0034855,2.883642857142857,10.714285714285714,15.406071428571433,4.6896296296296285,-3.7548148148148157,,,,,,,,,
00-0034857,3.114103448275862,6.896551724137931,9.670000000000012,12.612142857142857,3.183571428571427,,,,,,,,,
00-0035229,,,,,,2.8147027550126396,3.42,0.14938022537153728,4.987999999999997,13.70254381627382,,,,
00-0035640,,,,,,1.4342347775589703,4.052,-0.11960552900175436,18.160999999999998,51.60401216150938,,,,
00-0035644,,,,,,2.99712180010766,5.408571428571428,0.14556088090283126,5.44875,9.486191813018214,,,,
00-0035685,,,,,,,,,,,-0.41443687998215706,35.0,2.8804736842105263,4.9765
00-0035704,2.769409090909091,13.636363636363635,5.007727272727269,5.981363636363638,-3.064090909090908,,,,,,,,,
00-0035710,2.843903225806452,12.903225806451612,-2.4306451612903235,6.5696551724137935,-2.1199999999999997,,,,,,,,,
00-0035719,,,,,,4.723231908127042,7.518000000000001,-0.24185270128174707,2.5285714285714276,11.374590321958738,,,,
00-0036040,,,,,,1.719562578952969,6.305714285714286,0.0061611791315541176,11.52,17.549128419403274,,,,
00-0036223,,,,,,,,,,,0.5477845288507022,21.052631578947366,2.2102,3.4707142857142856
00-0036264,2.561642857142857,9.523809523809524,-9.024285714285707,11.055250000000001,1.6802500000000005,,,,,,,,,
00-0036275,,,,,,,,,,,1.620236641904537,5.555555555555555,2.5828333333333333,2.7443548387096777
00-0036322,,,,,,2.9903816193201997,4.591111111111111,1.347637822907736,9.361111111111112,46.288665457941875,,,,
00-0036355,2.7349629629629626,18.51851851851852,-1.4029629629629503,10.811481481481481,-1.1885185185185196,,,,,,,,,
00-0036358,,,,,,3.040398988549592,5.368571428571428,1.3528888500483842,11.49625,35.918765866041795,,,,
00-0036389,3.2637599999999996,8.0,-2.1448000000000023,10.162272727272727,0.9804545454545451,,,,,,,,,
00-0036410,,,,,,1.8080312986887046,4.633333333333334,5.658149516068292,18.886666666666667,48.884862602993834,,,,
00-0036442,2.541857142857143,14.285714285714285,5.241142857142855,6.817941176470589,-1.593823529411765,,,,,,,,,
00-0036554,,,,,,1.1074359906456532,4.039,0.29130362883410843,12.618,43.62165525824518,,,,
00-0036555,,,,,,,,,,,1.3293705449931594,10.0,2.6858999999999997,4.224285714285714
00-0036875,,,,,,,,,,,-1.2290167162825487,16.666666666666664,3.1465,5.162549019607844
00-0036894,,,,,,4.5096563948995,7.9575,1.0193503027681272,5.434000000000002,7.720285284005343,,,,
00-0036912,,,,,,2.5552603232823397,3.7983333333333333,1.248430038698454,13.885,37.263496891353945,,,,
00-0036963,,,,,,3.607514631884448,7.859999999999999,-0.09646840695198522,5.059285714285714,30.10327680734413,,,,
00-0036971,2.981086956521739,13.043478260869565,16.185217391304352,11.21095238095238,2.068095238095237,,,,,,,,,
00-0036997,,,,,,,,,,,0.3053333161942848,25.0,2.93125,3.6070731707317076
00-0037005,,,,,,1.6281116153631139,4.455,1.4151138473833456,4.7360000000000015,7.096406844676198,,,,
00-0037228,,,,,,,,,,,0.5701079618552065,30.0,2.791,3.549782608695652
00-0037238,,,,,,4.535863552037977,5.07,2.7795747566759204,7.159999999999999,37.992146874668364,,,,
00-0037239,,,,,,3.276901114578407,6.020769230769231,-1.883717652717663,18.060769230769232,51.095732410611305,,,,
00-0037240,,,,,,2.7703679268267463,9.66625,-0.6546285515332322,14.116666666666665,53.99719495091164,,,,
00-0037247,,,,,,2.006366936442396,2.638333333333333,-0.5078994183031065,16.106666666666666,37.742628392892016,,,,
00-0037248,,,,,,,,,,,0.5281536743750741,7.6923076923076925,2.6404166666666664,3.5454385964912283
00-0037261,,,,,,3.88061104155876,8.271666666666667,-1.2110916507372291,6.978333333333331,11.856487512034883,,,,
00-0037263,,,,,,,,,,,-0.41522541852810946,29.411764705882355,2.6670625,3.8372131147540984
00-0037291,,,,,,2.6706051226128875,5.7780000000000005,-0.5434839090897214,12.452000000000002,28.06906812136513,,,,
00-0037525,,,,,,,,,,,0.1851094253864962,20.0,3.0242857142857145,4.596271186440678
00-0037664,,,,,,2.0962541378735082,5.836666666666666,1.000817699210728,16.916666666666668,53.27524669326055,,,,
00-0037740,,,,,,3.0450411950477907,4.945714285714286,-1.0747053857074431,10.655714285714286,48.26269815593659,,,,
00-0037744,,,,,,2.793063927052886,5.419999999999999,0.6704131539235756,7.303076923076923,32.73003068224911,,,,
00-0037834,2.6883235294117647,17.647058823529413,7.401176470588244,4.576764705882352,-2.246764705882353,,,,,,,,,
00-0037838,,,,,,3.0380827384998748,3.4266666666666663,0.2538630311926351,8.418750000000001,27.14084223252065,,,,
00-0037840,,,,,,,,,,,-0.7080492308243346,18.181818181818183,2.5645454545454545,3.5536585365853655
00-0038117,,,,,,3.3713750748679345,4.998,-0.17359568566725558,3.914999999999999,14.640074789654097,,,,
00-0038120,,,,,,,,,,,0.024766707159568826,22.727272727272727,2.7360909090909087,3.8627450980392157
00-0038124,,,,,,2.4907857039586165,8.98375,8.178641546571967,15.348750000000003,27.76735035390426,,,,
00-0038128,3.2108148148148152,22.22222222222222,-0.3970370370370402,12.04888888888889,1.16,,,,,,,,,
00-0038129,,,,,,4.060174437710979,6.6,-0.2417356274574871,4.847999999999999,19.143895119254463,,,,
00-0038134,,,,,,,,,,,4.403055830124238,30.434782608695656,2.9385909090909093,2.832543352601156
00-0038542,,,,,,,,,,,-0.4246592438163393,4.761904761904762,2.85475,4.1327710843373495
00-0038543,,,,,,3.0943138197881126,6.176666666666666,4.33908994720512,7.280000000000001,54.50956367844258,,,,
00-0038544,,,,,,2.486485880374682,7.46,0.7206373950786826,10.176666666666664,20.917406049809873,,,,
00-0038559,,,,,,1.8040823942047528,6.728571428571429,-0.3900959440358932,12.04857142857143,29.075740338538974,,,,
00-0038597,,,,,,,,,,,-0.3954813378441342,50.0,2.5483846153846152,4.526785714285714
00-0038606,,,,,,2.9324658423654646,4.43,-4.456622506409066,16.95333333333333,43.20604850698721,,,,
00-0038618,,,,,,3.1715765359150114,5.886,-3.3780843849133078,8.693333333333333,18.032220147963766,,,,
00-0038621,,,,,,4.147394089544016,7.185,-0.48258858597902066,5.758571428571429,20.404960769425465,,,,
00-0038933,,,,,,1.9963402066524598,6.8,4.256299200639949,15.726666666666667,26.72028090842159,,,,
00-0038996,,,,,,3.7219029644931294,3.7283333333333335,0.853930306870855,11.628333333333336,15.777571741932567,,,,
00-0039040,,,,,,,,,,,-0.4191879547111561,9.090909090909092,2.7569999999999997,4.691666666666666
00-0039064,,,,,,2.448796715420317,3.7479999999999998,9.662692841239409,13.46,31.27929044502111,,,,
