pfr_id,rush_ybc_att,rush_yac_att,rush_broken_tackles,rush_att_per_broken,pfr_rush_att,rec_ybc_per_rec,rec_yac_per_rec,pfr_adot,rec_broken_tackles,rec_drop_pct,pfr_targets,player_id
BrowNo00,,,,,,14.4,2.2,11.3,0.0,0.0,10.0,00-0033591
BrowPh01,,,,,,0.5,0.0,0.5,0.0,0.0,2.0,00-0033439
BryaHa00,,,,,,3.5,0.0,9.7,0.0,0.16699999999999998,6.0,00-0036232
BryaPa00,,,,,,7.5,4.7,8.3,2.0,0.061,49.0,00-0040134
BuecSh00,4.0,0.0,0.0,,1.0,,,,,,,00-0036679
BurdLu00,4.5,1.7,1.0,6.0,6.0,6.8,7.1,7.7,1.0,0.067,60.0,00-0040735
BurkTr00,,,,,,9.6,3.4,13.5,1.0,0.0,22.0,00-0037742
BurrJo01,2.9,0.1,0.0,,14.0,,,,,,,00-0036442
CalcGr00,,,,,,5.0,3.4,6.5,0.0,0.0,13.0,00-0037086
CannSa00,,,,,,3.0,2.5,11.0,0.0,0.0,5.0,00-0037015
CartMi03,2.3,1.3,3.0,30.7,92.0,0.3,7.8,1.7,7.0,0.044000000000000004,45.0,00-0036924
ChanTy01,0.9,1.8,1.0,17.0,17.0,-5.3,9.0,-5.0,0.0,0.0,4.0,00-0037276
CharZa00,2.1,1.8,14.0,13.1,184.0,1.1,6.2,1.7,1.0,0.042,24.0,00-0039165
ChasJa00,3.3,1.3,0.0,,3.0,6.2,5.1,8.5,6.0,0.022000000000000002,185.0,00-0036900
ChesJu00,2.5,1.1,0.0,,11.0,,,11.0,0.0,0.0,2.0,00-0037594
ChisEf00,,,,,,11.7,13.3,11.7,0.0,0.0,3.0,00-0040563
ChubNi00,2.1,2.1,5.0,24.4,122.0,0.3,4.8,0.7,1.0,0.1,20.0,00-0034791
CokeJa01,,,,,,8.8,3.1,10.0,1.0,0.0,43.0,00-0039491
ColeKe02,,,,,,8.3,2.3,11.1,1.0,0.051,59.0,00-0039901
CollBe00,,,,,,9.5,3.0,12.2,0.0,0.0,6.0,00-0040432
CollNi00,4.0,3.5,0.0,,2.0,11.2,4.6,12.7,4.0,0.008,120.0,00-0036554
ConkTy00,2.0,0.0,0.0,,1.0,6.3,8.1,4.5,1.0,0.2,10.0,00-0034270
ConnJa00,1.2,1.8,3.0,10.7,32.0,-3.8,8.5,-1.0,3.0,0.0,9.0,00-0033553
ConnTa00,,,,,,5.8,4.3,6.5,0.0,0.067,15.0,00-0037348
CookBr00,,,,,,9.8,1.8,14.3,0.0,0.083,36.0,00-0031236
CookBr00,,,,,,6.7,1.9,9.2,0.0,0.04,25.0,00-0031236
CookBr00,,,,,,21.6,1.2,25.9,0.0,0.182,11.0,00-0031236
CookBr03,2.9,0.8,0.0,,13.0,,,,,,,00-0040398
CookJa01,3.0,2.2,21.0,14.7,309.0,0.6,8.2,1.3,3.0,0.075,40.0,00-0037248
CoopDa01,,,,,,7.8,2.4,9.9,0.0,0.0,11.0,00-0040024
CorlMa00,2.8,7.0,2.0,6.5,13.0,1.0,6.2,-0.5,0.0,0.0,14.0,00-0039920
CoruBl00,3.5,1.6,12.0,12.1,145.0,-0.1,4.6,2.1,0.0,0.214,14.0,00-0039738
CousKi00,0.2,0.3,0.0,,14.0,,,,,,,00-0029604
CoveBr00,,,,,,0.0,10.0,2.0,0.0,0.25,4.0,00-0037132
CrosJa00,2.5,2.1,13.0,13.5,175.0,-1.0,8.6,-1.5,0.0,0.0,13.0,00-0040242
CulpDe00,,,,,,6.0,0.0,6.0,0.0,0.0,1.0,00-0039754
CunnMa00,0.0,1.0,0.0,,1.0,,,,,,,00-0038911
DabnDr00,,,,,,3.0,0.0,5.0,0.0,0.0,2.0,00-0040628
DallDe00,6.0,1.0,0.0,,3.0,,,-1.0,0.0,1.0,1.0,00-0036425
DallDe00,0.0,0.0,0.0,,1.0,,,-1.0,0.0,1.0,1.0,00-0036425
DallDe00,9.0,1.5,0.0,,2.0,,,-1.0,0.0,1.0,1.0,00-0036425
DaltAn00,-0.4,0.0,0.0,,5.0,,,,,,,00-0027973
DaniJa02,2.9,1.9,4.0,14.5,58.0,,,,,,,00-0039910
DarnSa00,2.5,0.2,0.0,,35.0,,,,,,,00-0034869
DartJa00,4.9,0.8,0.0,,86.0,,,,,,,00-0040691
DaviDe02,0.5,2.0,0.0,,2.0,1.0,4.0,11.0,0.0,0.0,3.0,00-0038573
DaviGa01,,,,,,8.3,2.5,8.8,0.0,0.0,18.0,00-0036196
DaviIs00,3.0,2.5,2.0,21.5,43.0,-0.1,9.0,1.1,1.0,0.036000000000000004,28.0,00-0039798
DaviMa02,2.9,1.9,0.0,,52.0,5.0,3.0,3.6,0.0,0.2,5.0,00-0037563
DaviRa04,2.5,2.2,3.0,19.3,58.0,-1.3,9.9,0.0,0.0,0.154,13.0,00-0039875
DeguJo00,,,,,,5.3,1.7,4.6,0.0,0.0,5.0,00-0036332
DemeEm00,4.4,2.7,4.0,11.0,44.0,1.3,6.5,0.6,2.0,0.05,20.0,00-0038705
DiggSt00,,,,,,7.8,4.2,8.5,2.0,0.028999999999999998,102.0,00-0031588
DikeCh00,0.5,1.2,1.0,11.0,11.0,4.2,4.6,7.9,0.0,0.027000000000000003,74.0,00-0040705
DillAJ00,2.3,2.7,2.0,6.0,12.0,4.0,3.0,4.0,0.0,0.0,3.0,00-0036265
DissWi00,,,,,,2.8,6.0,4.5,0.0,0.063,16.0,00-0034159
DobbJK00,2.6,2.4,9.0,17.0,153.0,-1.7,5.1,-2.1,0.0,0.071,14.0,00-0036158
DobbJo00,-0.5,0.0,0.0,,10.0,,,,,,,00-0033949
DortGr01,1.4,0.7,0.0,,7.0,0.4,6.7,1.8,4.0,0.03,33.0,00-0035500
DotsJa00,,,,,,11.8,2.8,15.7,1.0,0.0,36.0,00-0037741
DoubRo00,,,,,,10.2,3.0,12.2,2.0,0.035,85.0,00-0037816
DougDe00,2.6,0.4,0.0,,7.0,7.5,6.9,9.9,1.0,0.043,46.0,00-0038621
DowdRi01,2.5,2.0,14.0,16.9,236.0,-1.4,9.0,-1.0,3.0,0.04,50.0,00-0036139
DownJo00,-2.0,1.0,0.0,,2.0,7.3,2.5,7.2,1.0,0.045,88.0,00-0038997
DrumDy00,,,,,,4.0,2.0,7.7,0.0,0.0,11.0,00-0038953
DulcGr00,-7.0,0.0,0.0,,1.0,5.2,7.7,4.8,2.0,0.0,33.0,00-0037252
DuliAs00,7.3,7.3,0.0,,3.0,10.6,10.6,15.8,0.0,0.0,10.0,00-0035021
DurhPa00,,,,,,0.0,11.0,3.8,0.0,0.25,4.0,00-0039050
DuveDe00,,,,,,13.0,0.0,14.2,0.0,0.0,5.0,00-0036331
DwelRo00,,,,,,0.0,3.5,0.2,0.0,0.0,5.0,00-0034073
EdwaCl00,0.4,1.4,0.0,,7.0,-2.0,6.5,-2.0,0.0,0.0,2.0,00-0036360
EgbuEm01,4.5,0.0,0.0,,2.0,9.6,5.3,12.1,1.0,0.071,127.0,00-0040129
EkelAu00,1.6,1.4,0.0,,14.0,-2.2,9.8,1.7,1.0,0.0,7.0,00-0033699
EngrEv00,6.0,1.0,0.0,,1.0,3.2,6.0,4.4,2.0,0.105,76.0,00-0033881
ErtzZa00,,,,,,7.6,2.5,9.0,1.0,0.069,72.0,00-0030061
EskrDW00,,,,,,13.3,2.3,13.4,0.0,0.0,7.0,00-0036620
EstiAu00,2.2,2.1,7.0,6.6,46.0,-0.4,9.0,-0.2,4.0,0.0,13.0,00-0039373
EtieTr00,2.2,2.1,10.0,26.0,260.0,-1.3,9.4,-1.3,4.0,0.096,52.0,00-0036973
EtieTr01,2.4,2.3,1.0,20.0,20.0,0.7,3.7,0.7,1.0,0.0,3.0,00-0040644
EvanMi00,,,,,,11.0,1.2,13.3,0.0,0.032,62.0,00-0031408
EvanMi01,0.0,1.0,0.0,,1.0,3.3,5.7,3.6,0.0,0.04,25.0,00-0040187
EwerQu00,2.4,0.0,0.0,,8.0,-6.0,0.0,-6.0,0.0,0.0,1.0,00-0040234
FannHa00,1.0,0.9,1.0,7.0,7.0,5.3,4.9,6.0,7.0,0.037000000000000005,107.0,00-0040663
FantNo00,,,,,,3.4,5.1,3.5,1.0,0.024,41.0,00-0035644
FarrLu00,,,,,,3.0,4.7,2.9,1.0,0.0,14.0,00-0036887
FeltTa00,,,,,,3.7,4.7,3.7,0.0,0.0,3.0,00-0040154
FergJa00,0.0,1.0,0.0,,1.0,3.6,3.7,4.7,6.0,0.02,102.0,00-0038041
FergTe00,0.0,0.0,0.0,,1.0,17.4,3.6,18.6,0.0,0.0,25.0,00-0040737
FielJu00,4.4,1.0,3.0,23.7,71.0,,,6.0,0.0,0.0,1.0,00-0036945
FirkAn00,,,,,,5.1,1.5,3.5,0.0,0.0,10.0,00-0033455
FiskTu00,,,,,,-1.0,10.5,5.5,0.0,0.25,4.0,00-0037654
FitzJo00,,,,,,1.3,4.8,1.6,0.0,0.133,15.0,00-0037306
FlacJo00,1.5,0.2,0.0,,21.0,,,,,,,00-0026158
FlacJo00,2.2,0.0,0.0,,6.0,,,,,,,00-0026158
FlacJo00,1.2,0.3,0.0,,15.0,,,,,,,00-0026158
FlouRy00,4.8,1.5,0.0,,4.0,6.8,5.1,8.3,2.0,0.036000000000000004,56.0,00-0039410
FlowZa00,4.3,1.9,0.0,,10.0,8.8,5.3,10.2,9.0,0.059000000000000004,118.0,00-0039064
FordJe00,1.8,1.3,9.0,2.7,24.0,-2.0,5.9,-1.5,2.0,0.094,32.0,00-0037267
FranFe00,1.0,1.0,0.0,,2.0,,,,,,,00-0036825
FranTr00,-0.6,3.0,1.0,5.0,5.0,6.6,4.3,12.7,3.0,0.038,104.0,00-0039868
FreiPa00,,,,,,5.6,6.2,6.0,3.0,0.0,54.0,00-0036894
GabrDi00,5.1,1.0,1.0,14.0,14.0,,,,,,,00-0040704
GadsOr01,,,,,,9.0,4.5,9.0,1.0,0.07200000000000001,69.0,00-0040189
GainKe00,2.6,2.1,14.0,8.1,114.0,-0.6,7.2,-0.2,5.0,0.024,85.0,00-0036919
GaroJi00,-1.1,0.0,0.0,,9.0,,,,,,,00-0031345
GaskMy00,0.7,1.3,0.0,,3.0,,,,,,,00-0035311
GesiMi00,,,,,,8.7,2.3,10.0,0.0,0.024,42.0,00-0034829
GibbJa01,3.4,1.7,18.0,13.5,243.0,0.0,8.0,0.6,7.0,0.043,94.0,00-0039139
GibsAn00,2.1,2.2,2.0,12.5,25.0,-5.0,8.0,-2.0,0.0,0.0,3.0,00-0036328
