player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0037805,2026,2,NYJ,GB,TE,25.0,73.52941176470588,,41,2,36,2,5,-10,255,0,27,0,0,0,1.0,6.0,,2.0,,1.0,0,0,0,0
00-0037816,2026,2,NE,PIT,WR,37.0,55.22388059701492,,22,4,21,3,96,76,193,0,28,0,0,0,0.0,3.0,,0.0,,0.0,0,0,0,0
00-0037834,2026,2,SF,MIA,QB,44.0,51.76470588235294,,22,0,21,0,0,0,181,3,27,30,22,287,,5.0,1.0,7.0,1.0,5.0,1,0,2,1
00-0037838,2026,2,NYG,LA,TE,40.0,57.971014492753625,,32,10,32,5,33,48,341,0,21,0,0,0,0.0,1.0,,3.0,,1.0,0,0,0,0
00-0037840,2026,2,LA,NYG,RB,34.0,61.81818181818181,,31,2,30,2,12,5,331,12,28,85,0,0,1.0,4.0,2.0,2.0,0.0,0.0,0,1,0,1
00-0038041,2026,2,DAL,WAS,TE,33.0,55.0,,31,4,31,4,43,29,244,0,21,0,0,0,2.0,5.0,,5.0,,1.0,0,2,0,1
00-0038046,2026,2,LAC,LV,TE,42.0,67.74193548387098,,27,3,26,3,21,11,261,0,32,0,0,0,0.0,1.0,,3.0,,2.0,0,0,0,0
00-0038090,2026,2,GB,NYJ,WR,21.0,58.333333333333336,,29,3,29,2,6,43,216,0,18,0,0,0,0.0,3.0,,5.0,,0.0,0,0,0,0
00-0038102,2026,2,CAR,ATL,QB,4.0,66.66666666666667,,36,0,32,0,0,0,291,1,22,-4,0,0,,17.0,,7.0,,0.0,0,0,0,0
00-0038104,2026,2,KC,IND,WR,47.0,79.66101694915254,,47,4,43,4,86,85,247,0,28,0,0,0,0.0,10.0,,5.0,,3.0,0,0,0,0
00-0038115,2026,2,TEN,PHI,TE,24.0,53.33333333333333,,20,1,17,0,0,4,113,0,29,0,0,0,0.0,3.0,,11.0,,4.0,0,0,0,0
00-0038117,2026,2,TEN,PHI,WR,28.0,52.83018867924528,,20,1,17,1,9,6,113,0,29,0,0,0,0.0,3.0,,11.0,,4.0,0,0,0,0
00-0038120,2026,2,NYJ,GB,RB,48.0,73.84615384615384,,41,5,36,5,63,-1,255,16,27,29,0,0,0.0,6.0,1.0,2.0,0.0,1.0,0,0,0,0
00-0038124,2026,2,GB,NYJ,WR,53.0,58.888888888888886,,29,11,29,4,41,86,216,0,18,0,0,0,2.0,3.0,,5.0,,0.0,0,1,0,1
00-0038128,2026,2,MIA,SF,QB,59.0,59.0,,23,0,23,0,0,0,169,2,28,6,23,197,,4.0,0.0,8.0,0.0,1.0,0,0,1,0
00-0038129,2026,2,TB,CLE,TE,58.0,65.1685393258427,,34,6,33,5,38,45,413,0,25,0,0,0,0.0,9.0,,4.0,,0.0,0,0,0,0
