season,week,team,plays,dropbacks,pass_attempts,carries,epa_per_play,proe,off_td,rush_td,points,pace_sec_per_play,rz_dropbacks,rz_plays
2026,2,NE,53,27.0,27.0,26.0,-0.0670432,0.045726534,1.0,1.0,7.0,,,
2026,2,NO,65,39.0,39.0,26.0,0.14676428,0.00066971383,2.0,1.0,14.0,,,
2026,2,NYG,55,34.0,34.0,21.0,-0.42919838,-0.060206447,0.0,0.0,0.0,,,
2026,2,NYJ,72,48.0,48.0,24.0,-0.10496509,0.04671294,2.0,1.0,14.0,,,
2026,2,PHI,72,42.0,42.0,30.0,0.038976025,-0.10039698,3.0,1.0,21.0,,,
2026,2,PIT,67,46.0,46.0,21.0,-0.35573697,-0.017014118,1.0,0.0,7.0,,,
2026,2,SEA,67,27.0,27.0,40.0,0.13364564,-0.118011296,4.0,1.0,28.0,,,
2026,2,SF,49,25.0,25.0,24.0,0.44165444,0.035083447,5.0,3.0,35.0,,,
2026,2,TB,62,40.0,40.0,22.0,-0.14604518,-0.012778667,1.0,0.0,7.0,,,
2026,2,TEN,51,24.0,24.0,27.0,0.075024,-0.20256022,2.0,2.0,14.0,,,
2026,2,WAS,67,42.0,42.0,25.0,0.06874767,-0.049608514,2.0,0.0,14.0,,,
